name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york,2018-01-01T00:00:00,-12.5,-21.1,-19.2,57.65,0,0,,0,0.05,31.7,20.5,319,1026.6,5.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T01:00:00,-12.5,-21.6,-19.2,57.65,0,0,,0,0.05,33.5,23.1,314,1026.8,5.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T02:00:00,-12.6,-21.6,-19.2,58.09,0,0,,0,0.05,35.7,22.4,307,1027,0,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T03:00:00,-13.1,-21.4,-19.3,59.72,0,0,,0,0.05,31.7,18.4,314,1027.4,0,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T04:00:00,-13.1,-21.4,-19.7,57.39,0,0,,0,0.04,,18.5,306,1027.3,5.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T05:00:00,-13.2,-22.4,-19.8,57.37,0,0,,0,0.04,33.5,22.8,304,1027.6,5.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T06:00:00,-13.6,-22.1,-19.8,59.38,0,0,,0,0.04,,18.8,317,1027.9,5.2,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T07:00:00,-13.6,-23.4,-19.8,59.38,0,0,,0,0.04,44.6,24.9,302,1028.2,16.8,16,0,0,0,,Clear,clear-night,"72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T08:00:00,-13.3,-22.5,-19.2,61.32,0,0,,0,0.04,37.2,22.7,313,1028.3,5.2,16,52,0.2,1,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
new york,2018-01-01T09:00:00,-12.6,-22.2,-18.7,60.21,0,0,,0,0.04,51.8,26.1,302,1028.7,16.8,16,207,0.7,2,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
